National №,Name,Type,Species,Height in m,Height in pouce,Weight in kg,Weight in lbs,Abilities,Local №,EV yield,Catch rate,Catch rate details,Base Friendship,Base Friendship text,Base Exp.,Growth Rate,Egg Groups,Gender % male,Gender % female,Egg cycles,Egg cycles details,HP,HP Min,HP Max,Attack,Attack Min,Attack Max,Defense,Defense Min,Defense Max,Sp. Atk,Sp. Atk Min,Sp. Atk Max,Sp. Def,Sp. Def Min,Sp. Def Max,Speed,Speed Min,Speed Max,img_url,Generation
1,Bulbasaur,Grass Poison,Seed Pokémon,0.7,"2,04",6.9,15.2,1. OvergrowChlorophyll (hidden ability),001 (Red/Blue/Yellow)226 (Gold/Silver/Crystal)001 (FireRed/LeafGreen)231 (HeartGold/SoulSilver)080 (X/Y — Central Kalos)001 (Let's Go Pikachu/Let's Go Eevee)068 (The Isle of Armor),1 Special Attack,45.0,"5.9% with PokéBall, full HP",50.0,normal,64.0,Medium Slow,"Grass, Monster",87.5,12.5,20.0,"4,884–5,140 steps",45.0,200.0,294.0,49.0,92.0,216.0,49.0,92.0,216.0,65.0,121.0,251.0,65.0,121.0,251.0,45.0,85.0,207.0,https://img.pokemondb.net/artwork/bulbasaur.jpg,1.0
2,Ivysaur,Grass Poison,Seed Pokémon,1.0,"3,03",13.0,28.7,1. OvergrowChlorophyll (hidden ability),002 (Red/Blue/Yellow)227 (Gold/Silver/Crystal)002 (FireRed/LeafGreen)232 (HeartGold/SoulSilver)081 (X/Y — Central Kalos)002 (Let's Go Pikachu/Let's Go Eevee)069 (The Isle of Armor),"1 Special Attack, 1 Special Defense",45.0,"5.9% with PokéBall, full HP",50.0,normal,142.0,Medium Slow,"Grass, Monster",87.5,12.5,20.0,"4,884–5,140 steps",60.0,230.0,324.0,62.0,116.0,245.0,63.0,117.0,247.0,80.0,148.0,284.0,80.0,148.0,284.0,60.0,112.0,240.0,https://img.pokemondb.net/artwork/ivysaur.jpg,1.0
3,Venusaur,Grass Poison,Seed Pokémon,2.0,"6,07",100.0,220.5,1. OvergrowChlorophyll (hidden ability),003 (Red/Blue/Yellow)228 (Gold/Silver/Crystal)003 (FireRed/LeafGreen)233 (HeartGold/SoulSilver)082 (X/Y — Central Kalos)003 (Let's Go Pikachu/Let's Go Eevee)070 (The Isle of Armor),"2 Special Attack, 1 Special Defense",45.0,"5.9% with PokéBall, full HP",50.0,normal,236.0,Medium Slow,"Grass, Monster",87.5,12.5,20.0,"4,884–5,140 steps",80.0,270.0,364.0,82.0,152.0,289.0,83.0,153.0,291.0,100.0,184.0,328.0,100.0,184.0,328.0,80.0,148.0,284.0,https://img.pokemondb.net/artwork/venusaur.jpg,1.0
4,Charmander,Fire,Lizard Pokémon,0.6,"2,00",8.5,18.7,1. BlazeSolar Power (hidden ability),004 (Red/Blue/Yellow)229 (Gold/Silver/Crystal)004 (FireRed/LeafGreen)234 (HeartGold/SoulSilver)083 (X/Y — Central Kalos)004 (Let's Go Pikachu/Let's Go Eevee)378 (Sword/Shield),1 Speed,45.0,"5.9% with PokéBall, full HP",50.0,normal,62.0,Medium Slow,"Dragon, Monster",87.5,12.5,20.0,"4,884–5,140 steps",39.0,188.0,282.0,52.0,98.0,223.0,43.0,81.0,203.0,60.0,112.0,240.0,50.0,94.0,218.0,65.0,121.0,251.0,https://img.pokemondb.net/artwork/charmander.jpg,1.0
5,Charmeleon,Fire,Flame Pokémon,1.1,"3,07",19.0,41.9,1. BlazeSolar Power (hidden ability),005 (Red/Blue/Yellow)230 (Gold/Silver/Crystal)005 (FireRed/LeafGreen)235 (HeartGold/SoulSilver)084 (X/Y — Central Kalos)005 (Let's Go Pikachu/Let's Go Eevee)379 (Sword/Shield),"1 Special Attack, 1 Speed",45.0,"5.9% with PokéBall, full HP",50.0,normal,142.0,Medium Slow,"Dragon, Monster",87.5,12.5,20.0,"4,884–5,140 steps",58.0,226.0,320.0,64.0,119.0,249.0,58.0,108.0,236.0,80.0,148.0,284.0,65.0,121.0,251.0,80.0,148.0,284.0,https://img.pokemondb.net/artwork/charmeleon.jpg,1.0
6,Charizard,Fire Flying,Flame Pokémon,1.7,"5,07",90.5,199.5,1. BlazeSolar Power (hidden ability),006 (Red/Blue/Yellow)231 (Gold/Silver/Crystal)006 (FireRed/LeafGreen)236 (HeartGold/SoulSilver)085 (X/Y — Central Kalos)006 (Let's Go Pikachu/Let's Go Eevee)380 (Sword/Shield),3 Special Attack,45.0,"5.9% with PokéBall, full HP",50.0,normal,240.0,Medium Slow,"Dragon, Monster",87.5,12.5,20.0,"4,884–5,140 steps",78.0,266.0,360.0,84.0,155.0,293.0,78.0,144.0,280.0,109.0,200.0,348.0,85.0,157.0,295.0,100.0,184.0,328.0,https://img.pokemondb.net/artwork/charizard.jpg,1.0
7,Squirtle,Water,Tiny Turtle Pokémon,0.5,"1,08",9.0,19.8,1. TorrentRain Dish (hidden ability),007 (Red/Blue/Yellow)232 (Gold/Silver/Crystal)007 (FireRed/LeafGreen)237 (HeartGold/SoulSilver)086 (X/Y — Central Kalos)007 (Let's Go Pikachu/Let's Go Eevee)071 (The Isle of Armor),1 Defense,45.0,"5.9% with PokéBall, full HP",50.0,normal,63.0,Medium Slow,"Monster, Water 1",87.5,12.5,20.0,"4,884–5,140 steps",44.0,198.0,292.0,48.0,90.0,214.0,65.0,121.0,251.0,50.0,94.0,218.0,64.0,119.0,249.0,43.0,81.0,203.0,https://img.pokemondb.net/artwork/squirtle.jpg,1.0
8,Wartortle,Water,Turtle Pokémon,1.0,"3,03",22.5,49.6,1. TorrentRain Dish (hidden ability),008 (Red/Blue/Yellow)233 (Gold/Silver/Crystal)008 (FireRed/LeafGreen)238 (HeartGold/SoulSilver)087 (X/Y — Central Kalos)008 (Let's Go Pikachu/Let's Go Eevee)072 (The Isle of Armor),"1 Defense, 1 Special Defense",45.0,"5.9% with PokéBall, full HP",50.0,normal,142.0,Medium Slow,"Monster, Water 1",87.5,12.5,20.0,"4,884–5,140 steps",59.0,228.0,322.0,63.0,117.0,247.0,80.0,148.0,284.0,65.0,121.0,251.0,80.0,148.0,284.0,58.0,108.0,236.0,https://img.pokemondb.net/artwork/wartortle.jpg,1.0
9,Blastoise,Water,Shellfish Pokémon,1.6,"5,03",85.5,188.5,1. TorrentRain Dish (hidden ability),009 (Red/Blue/Yellow)234 (Gold/Silver/Crystal)009 (FireRed/LeafGreen)239 (HeartGold/SoulSilver)088 (X/Y — Central Kalos)009 (Let's Go Pikachu/Let's Go Eevee)073 (The Isle of Armor),3 Special Defense,45.0,"5.9% with PokéBall, full HP",50.0,normal,239.0,Medium Slow,"Monster, Water 1",87.5,12.5,20.0,"4,884–5,140 steps",79.0,268.0,362.0,83.0,153.0,291.0,100.0,184.0,328.0,85.0,157.0,295.0,105.0,193.0,339.0,78.0,144.0,280.0,https://img.pokemondb.net/artwork/blastoise.jpg,1.0
10,Caterpie,Bug,Worm Pokémon,0.3,"1,00",2.9,6.4,1. Shield DustRun Away (hidden ability),010 (Red/Blue/Yellow)024 (Gold/Silver/Crystal)010 (FireRed/LeafGreen)024 (HeartGold/SoulSilver)023 (X/Y — Central Kalos)017 (Sun/Moon — Alola dex)017 (U.Sun/U.Moon — Alola dex)010 (Let's Go Pikachu/Let's Go Eevee)013 (Sword/Shield),1 HP,255.0,"33.3% with PokéBall, full HP",50.0,normal,39.0,Medium Fast,Bug,50,50.0,15.0,"3,599–3,855 steps",45.0,200.0,294.0,30.0,58.0,174.0,35.0,67.0,185.0,20.0,40.0,152.0,20.0,40.0,152.0,45.0,85.0,207.0,https://img.pokemondb.net/artwork/caterpie.jpg,1.0
11,Metapod,Bug,Cocoon Pokémon,0.7,"2,04",9.9,21.8,1. Shed Skin,011 (Red/Blue/Yellow)025 (Gold/Silver/Crystal)011 (FireRed/LeafGreen)025 (HeartGold/SoulSilver)024 (X/Y — Central Kalos)018 (Sun/Moon — Alola dex)018 (U.Sun/U.Moon — Alola dex)011 (Let's Go Pikachu/Let's Go Eevee)014 (Sword/Shield),2 Defense,120.0,"15.7% with PokéBall, full HP",50.0,normal,72.0,Medium Fast,Bug,50,50.0,15.0,"3,599–3,855 steps",50.0,210.0,304.0,20.0,40.0,152.0,55.0,103.0,229.0,25.0,49.0,163.0,25.0,49.0,163.0,30.0,58.0,174.0,https://img.pokemondb.net/artwork/metapod.jpg,1.0
12,Butterfree,Bug Flying,Butterfly Pokémon,1.1,"3,07",32.0,70.5,1. Compound EyesTinted Lens (hidden ability),012 (Red/Blue/Yellow)026 (Gold/Silver/Crystal)012 (FireRed/LeafGreen)026 (HeartGold/SoulSilver)025 (X/Y — Central Kalos)019 (Sun/Moon — Alola dex)019 (U.Sun/U.Moon — Alola dex)012 (Let's Go Pikachu/Let's Go Eevee)015 (Sword/Shield),"2 Special Attack, 1 Special Defense",45.0,"5.9% with PokéBall, full HP",50.0,normal,178.0,Medium Fast,Bug,50,50.0,15.0,"3,599–3,855 steps",60.0,230.0,324.0,45.0,85.0,207.0,50.0,94.0,218.0,90.0,166.0,306.0,80.0,148.0,284.0,70.0,130.0,262.0,https://img.pokemondb.net/artwork/butterfree.jpg,1.0
13,Weedle,Bug Poison,Hairy Bug Pokémon,0.3,"1,00",3.2,7.1,1. Shield DustRun Away (hidden ability),013 (Red/Blue/Yellow)027 (Gold/Silver/Crystal)013 (FireRed/LeafGreen)027 (HeartGold/SoulSilver)026 (X/Y — Central Kalos)013 (Let's Go Pikachu/Let's Go Eevee),1 Speed,255.0,"33.3% with PokéBall, full HP",50.0,normal,39.0,Medium Fast,Bug,50,50.0,15.0,"3,599–3,855 steps",40.0,190.0,284.0,35.0,67.0,185.0,30.0,58.0,174.0,20.0,40.0,152.0,20.0,40.0,152.0,50.0,94.0,218.0,https://img.pokemondb.net/artwork/weedle.jpg,1.0
14,Kakuna,Bug Poison,Cocoon Pokémon,0.6,"2,00",10.0,22.0,1. Shed Skin,014 (Red/Blue/Yellow)028 (Gold/Silver/Crystal)014 (FireRed/LeafGreen)028 (HeartGold/SoulSilver)027 (X/Y — Central Kalos)014 (Let's Go Pikachu/Let's Go Eevee),2 Defense,120.0,"15.7% with PokéBall, full HP",50.0,normal,72.0,Medium Fast,Bug,50,50.0,15.0,"3,599–3,855 steps",45.0,200.0,294.0,25.0,49.0,163.0,50.0,94.0,218.0,25.0,49.0,163.0,25.0,49.0,163.0,35.0,67.0,185.0,https://img.pokemondb.net/artwork/kakuna.jpg,1.0
15,Beedrill,Bug Poison,Poison Bee Pokémon,1.0,"3,03",29.5,65.0,1. SwarmSniper (hidden ability),015 (Red/Blue/Yellow)029 (Gold/Silver/Crystal)015 (FireRed/LeafGreen)029 (HeartGold/SoulSilver)028 (X/Y — Central Kalos)015 (Let's Go Pikachu/Let's Go Eevee),"2 Attack, 1 Special Defense",45.0,"5.9% with PokéBall, full HP",50.0,normal,178.0,Medium Fast,Bug,50,50.0,15.0,"3,599–3,855 steps",65.0,240.0,334.0,90.0,166.0,306.0,40.0,76.0,196.0,45.0,85.0,207.0,80.0,148.0,284.0,75.0,139.0,273.0,https://img.pokemondb.net/artwork/beedrill.jpg,1.0
16,Pidgey,Normal Flying,Tiny Bird Pokémon,0.3,"1,00",1.8,4.0,1. Keen Eye2. Tangled FeetBig Pecks (hidden ability),016 (Red/Blue/Yellow)010 (Gold/Silver/Crystal)016 (FireRed/LeafGreen)010 (HeartGold/SoulSilver)017 (X/Y — Central Kalos)016 (Let's Go Pikachu/Let's Go Eevee),1 Speed,255.0,"33.3% with PokéBall, full HP",50.0,normal,50.0,Medium Slow,Flying,50,50.0,15.0,"3,599–3,855 steps",40.0,190.0,284.0,45.0,85.0,207.0,40.0,76.0,196.0,35.0,67.0,185.0,35.0,67.0,185.0,56.0,105.0,232.0,https://img.pokemondb.net/artwork/pidgey.jpg,1.0
17,Pidgeotto,Normal Flying,Bird Pokémon,1.1,"3,07",30.0,66.1,1. Keen Eye2. Tangled FeetBig Pecks (hidden ability),017 (Red/Blue/Yellow)011 (Gold/Silver/Crystal)017 (FireRed/LeafGreen)011 (HeartGold/SoulSilver)018 (X/Y — Central Kalos)017 (Let's Go Pikachu/Let's Go Eevee),2 Speed,120.0,"15.7% with PokéBall, full HP",50.0,normal,122.0,Medium Slow,Flying,50,50.0,15.0,"3,599–3,855 steps",63.0,236.0,330.0,60.0,112.0,240.0,55.0,103.0,229.0,50.0,94.0,218.0,50.0,94.0,218.0,71.0,132.0,265.0,https://img.pokemondb.net/artwork/pidgeotto.jpg,1.0
18,Pidgeot,Normal Flying,Bird Pokémon,1.5,"4,11",39.5,87.1,1. Keen Eye2. Tangled FeetBig Pecks (hidden ability),018 (Red/Blue/Yellow)012 (Gold/Silver/Crystal)018 (FireRed/LeafGreen)012 (HeartGold/SoulSilver)019 (X/Y — Central Kalos)018 (Let's Go Pikachu/Let's Go Eevee),3 Speed,45.0,"5.9% with PokéBall, full HP",50.0,normal,216.0,Medium Slow,Flying,50,50.0,15.0,"3,599–3,855 steps",83.0,276.0,370.0,80.0,148.0,284.0,75.0,139.0,273.0,70.0,130.0,262.0,70.0,130.0,262.0,101.0,186.0,331.0,https://img.pokemondb.net/artwork/pidgeot.jpg,1.0
19,Rattata,Normal,Mouse Pokémon,0.3,"1,00",3.5,7.7,1. Run Away2. GutsHustle (hidden ability),019 (Red/Blue/Yellow)017 (Gold/Silver/Crystal)019 (FireRed/LeafGreen)017 (HeartGold/SoulSilver)059 (Black 2/White 2)015 (Sun/Moon — Alola dex)015 (U.Sun/U.Moon — Alola dex)019 (Let's Go Pikachu/Let's Go Eevee),1 Speed,255.0,"33.3% with PokéBall, full HP",50.0,normal,51.0,Medium Fast,Field,50,50.0,15.0,"3,599–3,855 steps",30.0,170.0,264.0,56.0,105.0,232.0,35.0,67.0,185.0,25.0,49.0,163.0,35.0,67.0,185.0,72.0,134.0,267.0,https://img.pokemondb.net/artwork/rattata.jpg,1.0
20,Raticate,Normal,Mouse Pokémon,0.7,"2,04",18.5,40.8,1. Run Away2. GutsHustle (hidden ability),020 (Red/Blue/Yellow)018 (Gold/Silver/Crystal)020 (FireRed/LeafGreen)018 (HeartGold/SoulSilver)060 (Black 2/White 2)016 (Sun/Moon — Alola dex)016 (U.Sun/U.Moon — Alola dex)020 (Let's Go Pikachu/Let's Go Eevee),2 Speed,127.0,"16.6% with PokéBall, full HP",50.0,normal,145.0,Medium Fast,Field,50,50.0,15.0,"3,599–3,855 steps",55.0,220.0,314.0,81.0,150.0,287.0,60.0,112.0,240.0,50.0,94.0,218.0,70.0,130.0,262.0,97.0,179.0,322.0,https://img.pokemondb.net/artwork/raticate.jpg,1.0
21,Spearow,Normal Flying,Tiny Bird Pokémon,0.3,"1,00",2.0,4.4,1. Keen EyeSniper (hidden ability),021 (Red/Blue/Yellow)013 (Gold/Silver/Crystal)021 (FireRed/LeafGreen)013 (HeartGold/SoulSilver)109 (X/Y — Mountain Kalos)073 (Sun/Moon — Alola dex)087 (U.Sun/U.Moon — Alola dex)021 (Let's Go Pikachu/Let's Go Eevee),1 Speed,255.0,"33.3% with PokéBall, full HP",50.0,normal,52.0,Medium Fast,Flying,50,50.0,15.0,"3,599–3,855 steps",40.0,190.0,284.0,60.0,112.0,240.0,30.0,58.0,174.0,31.0,60.0,177.0,31.0,60.0,177.0,70.0,130.0,262.0,https://img.pokemondb.net/artwork/spearow.jpg,1.0
22,Fearow,Normal Flying,Beak Pokémon,1.2,"3,11",38.0,83.8,1. Keen EyeSniper (hidden ability),022 (Red/Blue/Yellow)014 (Gold/Silver/Crystal)022 (FireRed/LeafGreen)014 (HeartGold/SoulSilver)110 (X/Y — Mountain Kalos)074 (Sun/Moon — Alola dex)088 (U.Sun/U.Moon — Alola dex)022 (Let's Go Pikachu/Let's Go Eevee),2 Speed,90.0,"11.8% with PokéBall, full HP",50.0,normal,155.0,Medium Fast,Flying,50,50.0,15.0,"3,599–3,855 steps",65.0,240.0,334.0,90.0,166.0,306.0,65.0,121.0,251.0,61.0,114.0,243.0,61.0,114.0,243.0,100.0,184.0,328.0,https://img.pokemondb.net/artwork/fearow.jpg,1.0
