,National №,Type,Species,Height in m,Height in pouce,Weight in kg,Weight in lbs,Abilities,Local №,EV yield,Catch rate,Catch rate details,Base Friendship,Base Friendship text,Base Exp.,Growth Rate,Egg Groups,Gender % male,Gender % female,Egg cycles,Egg cycles details,HP,HP Min,HP Max,Attack,Attack Min,Attack Max,Defense,Defense Min,Defense Max,Sp. Atk,Sp. Atk Min,Sp. Atk Max,Sp. Def,Sp. Def Min,Sp. Def Max,Speed,Speed Min,Speed Max,Name,img_url,Generation
0,001,Grass Poison,Seed,0.7,2.04,6.9,15.2,1. OvergrowChlorophyll (hidden ability),001 (Red/Blue/Yellow)226 (Gold/Silver/Crystal)001 (FireRed/LeafGreen)231 (HeartGold/SoulSilver)080 (X/Y — Central Kalos)001 (Let's Go Pikachu/Let's Go Eevee)068 (The Isle of Armor),1 Special Attack,45,"5.9% with PokéBall, full HP",50,normal,64,Medium Slow,"Grass, Monster",87.5,12.5,20,"4,884–5,140 steps",45,200,294,49,92,216,49,92,216,65,121,251,65,121,251,45,85,207,Bulbasaur,https://img.pokemondb.net/artwork/bulbasaur.jpg,
1,002,Grass Poison,Seed,1.0,3.03,13.0,28.7,1. OvergrowChlorophyll (hidden ability),002 (Red/Blue/Yellow)227 (Gold/Silver/Crystal)002 (FireRed/LeafGreen)232 (HeartGold/SoulSilver)081 (X/Y — Central Kalos)002 (Let's Go Pikachu/Let's Go Eevee)069 (The Isle of Armor),"1 Special Attack, 1 Special Defense",45,"5.9% with PokéBall, full HP",50,normal,142,Medium Slow,"Grass, Monster",87.5,12.5,20,"4,884–5,140 steps",60,230,324,62,116,245,63,117,247,80,148,284,80,148,284,60,112,240,Ivysaur,https://img.pokemondb.net/artwork/ivysaur.jpg,
2,003,Grass Poison,Seed,2.0,6.07,100.0,220.5,1. OvergrowChlorophyll (hidden ability),003 (Red/Blue/Yellow)228 (Gold/Silver/Crystal)003 (FireRed/LeafGreen)233 (HeartGold/SoulSilver)082 (X/Y — Central Kalos)003 (Let's Go Pikachu/Let's Go Eevee)070 (The Isle of Armor),"2 Special Attack, 1 Special Defense",45,"5.9% with PokéBall, full HP",50,normal,236,Medium Slow,"Grass, Monster",87.5,12.5,20,"4,884–5,140 steps",80,270,364,82,152,289,83,153,291,100,184,328,100,184,328,80,148,284,Venusaur,https://img.pokemondb.net/artwork/venusaur.jpg,
3,004,Fire,Lizard,0.6,2.00,8.5,18.7,1. BlazeSolar Power (hidden ability),004 (Red/Blue/Yellow)229 (Gold/Silver/Crystal)004 (FireRed/LeafGreen)234 (HeartGold/SoulSilver)083 (X/Y — Central Kalos)004 (Let's Go Pikachu/Let's Go Eevee)378 (Sword/Shield),1 Speed,45,"5.9% with PokéBall, full HP",50,normal,62,Medium Slow,"Dragon, Monster",87.5,12.5,20,"4,884–5,140 steps",39,188,282,52,98,223,43,81,203,60,112,240,50,94,218,65,121,251,Charmander,https://img.pokemondb.net/artwork/charmander.jpg,
4,005,Fire,Flame,1.1,3.07,19.0,41.9,1. BlazeSolar Power (hidden ability),005 (Red/Blue/Yellow)230 (Gold/Silver/Crystal)005 (FireRed/LeafGreen)235 (HeartGold/SoulSilver)084 (X/Y — Central Kalos)005 (Let's Go Pikachu/Let's Go Eevee)379 (Sword/Shield),"1 Special Attack, 1 Speed",45,"5.9% with PokéBall, full HP",50,normal,142,Medium Slow,"Dragon, Monster",87.5,12.5,20,"4,884–5,140 steps",58,226,320,64,119,249,58,108,236,80,148,284,65,121,251,80,148,284,Charmeleon,https://img.pokemondb.net/artwork/charmeleon.jpg,
5,006,Fire Flying,Flame,1.7,5.07,90.5,199.5,1. BlazeSolar Power (hidden ability),006 (Red/Blue/Yellow)231 (Gold/Silver/Crystal)006 (FireRed/LeafGreen)236 (HeartGold/SoulSilver)085 (X/Y — Central Kalos)006 (Let's Go Pikachu/Let's Go Eevee)380 (Sword/Shield),3 Special Attack,45,"5.9% with PokéBall, full HP",50,normal,240,Medium Slow,"Dragon, Monster",87.5,12.5,20,"4,884–5,140 steps",78,266,360,84,155,293,78,144,280,109,200,348,85,157,295,100,184,328,Charizard,https://img.pokemondb.net/artwork/charizard.jpg,
6,007,Water,Tiny Turtle,0.5,1.08,9.0,19.8,1. TorrentRain Dish (hidden ability),007 (Red/Blue/Yellow)232 (Gold/Silver/Crystal)007 (FireRed/LeafGreen)237 (HeartGold/SoulSilver)086 (X/Y — Central Kalos)007 (Let's Go Pikachu/Let's Go Eevee)071 (The Isle of Armor),1 Defense,45,"5.9% with PokéBall, full HP",50,normal,63,Medium Slow,"Monster, Water 1",87.5,12.5,20,"4,884–5,140 steps",44,198,292,48,90,214,65,121,251,50,94,218,64,119,249,43,81,203,Squirtle,https://img.pokemondb.net/artwork/squirtle.jpg,
7,008,Water,Turtle,1.0,3.03,22.5,49.6,1. TorrentRain Dish (hidden ability),008 (Red/Blue/Yellow)233 (Gold/Silver/Crystal)008 (FireRed/LeafGreen)238 (HeartGold/SoulSilver)087 (X/Y — Central Kalos)008 (Let's Go Pikachu/Let's Go Eevee)072 (The Isle of Armor),"1 Defense, 1 Special Defense",45,"5.9% with PokéBall, full HP",50,normal,142,Medium Slow,"Monster, Water 1",87.5,12.5,20,"4,884–5,140 steps",59,228,322,63,117,247,80,148,284,65,121,251,80,148,284,58,108,236,Wartortle,https://img.pokemondb.net/artwork/wartortle.jpg,
8,009,Water,Shellfish,1.6,5.03,85.5,188.5,1. TorrentRain Dish (hidden ability),009 (Red/Blue/Yellow)234 (Gold/Silver/Crystal)009 (FireRed/LeafGreen)239 (HeartGold/SoulSilver)088 (X/Y — Central Kalos)009 (Let's Go Pikachu/Let's Go Eevee)073 (The Isle of Armor),3 Special Defense,45,"5.9% with PokéBall, full HP",50,normal,239,Medium Slow,"Monster, Water 1",87.5,12.5,20,"4,884–5,140 steps",79,268,362,83,153,291,100,184,328,85,157,295,105,193,339,78,144,280,Blastoise,https://img.pokemondb.net/artwork/blastoise.jpg,
9,010,Bug,Worm,0.3,1.00,2.9,6.4,1. Shield DustRun Away (hidden ability),010 (Red/Blue/Yellow)024 (Gold/Silver/Crystal)010 (FireRed/LeafGreen)024 (HeartGold/SoulSilver)023 (X/Y — Central Kalos)017 (Sun/Moon — Alola dex)017 (U.Sun/U.Moon — Alola dex)010 (Let's Go Pikachu/Let's Go Eevee)013 (Sword/Shield),1 HP,255,"33.3% with PokéBall, full HP",50,normal,39,Medium Fast,Bug,50,50,15,"3,599–3,855 steps",45,200,294,30,58,174,35,67,185,20,40,152,20,40,152,45,85,207,Caterpie,https://img.pokemondb.net/artwork/caterpie.jpg,
10,011,Bug,Cocoon,0.7,2.04,9.9,21.8,1. Shed Skin,011 (Red/Blue/Yellow)025 (Gold/Silver/Crystal)011 (FireRed/LeafGreen)025 (HeartGold/SoulSilver)024 (X/Y — Central Kalos)018 (Sun/Moon — Alola dex)018 (U.Sun/U.Moon — Alola dex)011 (Let's Go Pikachu/Let's Go Eevee)014 (Sword/Shield),2 Defense,120,"15.7% with PokéBall, full HP",50,normal,72,Medium Fast,Bug,50,50,15,"3,599–3,855 steps",50,210,304,20,40,152,55,103,229,25,49,163,25,49,163,30,58,174,Metapod,https://img.pokemondb.net/artwork/metapod.jpg,
11,012,Bug Flying,Butterfly,1.1,3.07,32.0,70.5,1. Compound EyesTinted Lens (hidden ability),012 (Red/Blue/Yellow)026 (Gold/Silver/Crystal)012 (FireRed/LeafGreen)026 (HeartGold/SoulSilver)025 (X/Y — Central Kalos)019 (Sun/Moon — Alola dex)019 (U.Sun/U.Moon — Alola dex)012 (Let's Go Pikachu/Let's Go Eevee)015 (Sword/Shield),"2 Special Attack, 1 Special Defense",45,"5.9% with PokéBall, full HP",50,normal,178,Medium Fast,Bug,50,50,15,"3,599–3,855 steps",60,230,324,45,85,207,50,94,218,90,166,306,80,148,284,70,130,262,Butterfree,https://img.pokemondb.net/artwork/butterfree.jpg,
12,013,Bug Poison,Hairy Bug,0.3,1.00,3.2,7.1,1. Shield DustRun Away (hidden ability),013 (Red/Blue/Yellow)027 (Gold/Silver/Crystal)013 (FireRed/LeafGreen)027 (HeartGold/SoulSilver)026 (X/Y — Central Kalos)013 (Let's Go Pikachu/Let's Go Eevee),1 Speed,255,"33.3% with PokéBall, full HP",50,normal,39,Medium Fast,Bug,50,50,15,"3,599–3,855 steps",40,190,284,35,67,185,30,58,174,20,40,152,20,40,152,50,94,218,Weedle,https://img.pokemondb.net/artwork/weedle.jpg,
13,014,Bug Poison,Cocoon,0.6,2.00,10.0,22.0,1. Shed Skin,014 (Red/Blue/Yellow)028 (Gold/Silver/Crystal)014 (FireRed/LeafGreen)028 (HeartGold/SoulSilver)027 (X/Y — Central Kalos)014 (Let's Go Pikachu/Let's Go Eevee),2 Defense,120,"15.7% with PokéBall, full HP",50,normal,72,Medium Fast,Bug,50,50,15,"3,599–3,855 steps",45,200,294,25,49,163,50,94,218,25,49,163,25,49,163,35,67,185,Kakuna,https://img.pokemondb.net/artwork/kakuna.jpg,
14,015,Bug Poison,Poison Bee,1.0,3.03,29.5,65.0,1. SwarmSniper (hidden ability),015 (Red/Blue/Yellow)029 (Gold/Silver/Crystal)015 (FireRed/LeafGreen)029 (HeartGold/SoulSilver)028 (X/Y — Central Kalos)015 (Let's Go Pikachu/Let's Go Eevee),"2 Attack, 1 Special Defense",45,"5.9% with PokéBall, full HP",50,normal,178,Medium Fast,Bug,50,50,15,"3,599–3,855 steps",65,240,334,90,166,306,40,76,196,45,85,207,80,148,284,75,139,273,Beedrill,https://img.pokemondb.net/artwork/beedrill.jpg,
