PassengerId,Survived,Sex,Pclass,Name,Age,Titre,Last_name,First_name,SibSp,Parch,Fare,group,Deck,Cabin,Embarked
0,0,male,3,"Braund, Mr. Owen Harris",22.0,Mr,Braund,Owen Harris,1,0,7.25,1,G,,S
1,0,male,3,"Coxon, Mr. Daniel",59.0,Mr,Coxon,Daniel,0,0,7.25,0,G,,S
2,0,male,3,"Perkin, Mr. John Henry",22.0,Mr,Perkin,John Henry,0,0,7.25,0,G,,S
3,0,male,3,"Lovell, Mr. John Hall (""Henry"")",20.5,Mr,Lovell,"John Hall (""Henry"")",0,0,7.25,0,G,,S
4,0,male,3,"Reed, Mr. James George",29.0,Mr,Reed,James George,0,0,7.25,0,G,,S
5,0,male,3,"Dennis, Mr. Samuel",22.0,Mr,Dennis,Samuel,0,0,7.25,0,G,,S
6,0,male,3,"Adahl, Mr. Mauritz Nils Martin",30.0,Mr,Adahl,Mauritz Nils Martin,0,0,7.25,0,G,,S
7,0,male,3,"Wiseman, Mr. Phillippe",29.0,Mr,Wiseman,Phillippe,0,0,7.25,0,G,,S
8,0,male,3,"Keefe, Mr. Arthur",29.0,Mr,Keefe,Arthur,0,0,7.25,0,G,,S
9,0,male,3,"Windelov, Mr. Einar",21.0,Mr,Windelov,Einar,0,0,7.25,0,G,,S
10,0,male,3,"Elsbury, Mr. William James",47.0,Mr,Elsbury,William James,0,0,7.25,0,G,,S
11,0,male,3,"Harmer, Mr. Abraham (David Lishin)",25.0,Mr,Harmer,Abraham (David Lishin),0,0,7.25,0,G,,S
12,0,male,3,"Ekstrom, Mr. Johan",45.0,Mr,Ekstrom,Johan,0,0,6.975,0,G,,S
13,0,male,3,"Braund, Mr. Lewis Richard",29.0,Mr,Braund,Lewis Richard,1,0,7.0458,1,G,,S
14,0,male,3,"Lundahl, Mr. Johan Svensson",51.0,Mr,Lundahl,Johan Svensson,0,0,7.0542,0,G,,S
15,0,male,3,"Jensen, Mr. Svend Lauritz",17.0,Mr,Jensen,Svend Lauritz,1,0,7.0542,1,G,,S
16,0,male,3,"Olsen, Mr. Ole Martin",29.0,Mr,Olsen,Ole Martin,0,0,7.3125,0,G,,S
17,0,male,3,"Maenpaa, Mr. Matti Alexanteri",22.0,Mr,Maenpaa,Matti Alexanteri,0,0,7.125,0,G,,S
18,0,male,3,"Kallio, Mr. Nikolai Erland",17.0,Mr,Kallio,Nikolai Erland,0,0,7.125,0,G,,S
19,0,male,3,"Rintamaki, Mr. Matti",35.0,Mr,Rintamaki,Matti,0,0,7.125,0,G,,S
20,0,male,3,"Nirva, Mr. Iisakki Antino Aijo",41.0,Mr,Nirva,Iisakki Antino Aijo,0,0,7.125,0,G,,S
21,0,male,3,"Coleff, Mr. Satio",24.0,Mr,Coleff,Satio,0,0,7.4958,0,G,,S
22,0,male,3,"Coleff, Mr. Peju",36.0,Mr,Coleff,Peju,0,0,7.4958,0,G,,S
23,0,male,3,"Andreasson, Mr. Paul Edvin",20.0,Mr,Andreasson,Paul Edvin,0,0,7.8542,0,G,,S
24,0,male,3,"Olsson, Mr. Nils Johan Goransson",28.0,Mr,Olsson,Nils Johan Goransson,0,0,7.8542,0,G,,S
25,0,male,3,"Hansen, Mr. Henry Damsgaard",21.0,Mr,Hansen,Henry Damsgaard,0,0,7.8542,0,G,,S
26,0,male,3,"Jensen, Mr. Hans Peder",20.0,Mr,Jensen,Hans Peder,0,0,7.8542,0,G,,S
27,0,male,3,"Jensen, Mr. Niels Peder",48.0,Mr,Jensen,Niels Peder,0,0,7.8542,0,G,,S
28,0,male,3,"Augustsson, Mr. Albert",23.0,Mr,Augustsson,Albert,0,0,7.8542,0,G,,S
29,0,male,3,"Klasen, Mr. Klas Albin",18.0,Mr,Klasen,Klas Albin,1,1,7.8542,2,G,,S
30,0,male,3,"Hansen, Mr. Henrik Juul",26.0,Mr,Hansen,Henrik Juul,1,0,7.8542,1,G,,S
31,0,male,3,"Todoroff, Mr. Lalio",29.0,Mr,Todoroff,Lalio,0,0,7.8958,0,G,,S
32,0,male,3,"Staneff, Mr. Ivan",29.0,Mr,Staneff,Ivan,0,0,7.8958,0,G,,S
33,0,male,3,"Petroff, Mr. Pastcho (""Pentcho"")",29.0,Mr,Petroff,"Pastcho (""Pentcho"")",0,0,7.8958,0,G,,S
34,0,male,3,"Mionoff, Mr. Stoytcho",28.0,Mr,Mionoff,Stoytcho,0,0,7.8958,0,G,,S
35,0,male,3,"Rekic, Mr. Tido",38.0,Mr,Rekic,Tido,0,0,7.8958,0,G,,S
36,0,male,3,"Turcin, Mr. Stjepan",36.0,Mr,Turcin,Stjepan,0,0,7.8958,0,G,,S
37,0,male,3,"Nenkoff, Mr. Christo",29.0,Mr,Nenkoff,Christo,0,0,7.8958,0,G,,S
38,0,male,3,"Naidenoff, Mr. Penko",22.0,Mr,Naidenoff,Penko,0,0,7.8958,0,G,,S
39,0,male,3,"Mineff, Mr. Ivan",24.0,Mr,Mineff,Ivan,0,0,7.8958,0,G,,S
